position,scoring,spearman,top12_overlap,mean_abs_rank_err,mae
QB,qb_4pt,0.438,0.508,8.571,6.253
QB,qb_6pt,0.429,0.452,8.73,7.6
RB,half_ppr,0.515,0.444,13.254,5.052
RB,ppr,0.517,0.448,13.09,5.442
TE,half_ppr,0.353,0.492,8.937,3.744
TE,ppr,0.368,0.52,8.894,4.41
WR,half_ppr,0.341,0.286,20.806,5.608
WR,ppr,0.361,0.302,20.569,6.334
